bike_id,start_time,age,month,start_station,end_station
26301,2018-02-27T00:11:03Z,32,2,3186,3203
26301,2018-02-27T12:52:49Z,39,2,3203,3202
26301,2018-02-27T17:03:27Z,55,2,3202,3638
26301,2018-02-27T18:53:51Z,34,2,3638,3638
26301,2018-02-27T19:30:42Z,38,2,3638,3187
26301,2018-02-27T21:31:04Z,38,2,3187,3638
26301,2018-02-27T22:37:12Z,29,2,3638,3639
26301,2018-02-27T22:49:10Z,56,2,3639,3202
26301,2018-02-27T23:21:57Z,26,2,3202,3638
26301,2018-02-28T03:08:55Z,37,2,3638,3281
26301,2018-02-28T13:19:37Z,46,2,3281,3640
26301,2018-02-28T23:17:07Z,30,2,3640,3210
26301,2018-03-01T15:27:57Z,32,3,3210,3640
26301,2018-03-03T09:12:49Z,40,3,3640,3281
26301,2018-03-03T23:18:47Z,40,3,3281,3640
26301,2018-03-04T08:46:27Z,40,3,3640,3281
26301,2018-03-04T22:18:45Z,40,3,3281,3640
26301,2018-03-05T05:08:53Z,40,3,3640,3281
26301,2018-03-05T12:49:36Z,39,3,3281,3640
26301,2018-03-05T23:41:57Z,37,3,3640,3206
26301,2018-03-06T02:05:46Z,35,3,3206,3207
26301,2018-03-06T13:37:44Z,33,3,3207,3640
26301,2018-03-06T23:29:41Z,38,3,3640,3207
26301,2018-03-07T03:05:39Z,28,3,3207,3280
26301,2018-03-08T15:25:57Z,65,3,3280,3640
26301,2018-03-10T05:27:24Z,23,3,3640,3210
26301,2018-03-10T14:08:31Z,23,3,3210,3186
26301,2018-03-11T12:57:02Z,36,3,3207,3211
26301,2018-03-12T10:58:12Z,27,3,3211,3213
26301,2018-03-12T11:07:39Z,56,3,3213,3186
26301,2018-03-12T12:16:31Z,33,3,3269,3186
26301,2018-03-12T22:00:45Z,32,3,3186,3269
26301,2018-03-13T12:16:25Z,40,3,3269,3186
26301,2018-03-13T20:57:11Z,29,3,3267,3186
26301,2018-03-13T21:45:16Z,41,3,3186,3203
26301,2018-03-13T23:34:40Z,43,3,3203,3273
26301,2018-03-14T04:03:39Z,40,3,3273,3203
26301,2018-03-14T12:21:59Z,47,3,3203,3186
