bike_id,start_time,start_date,start_month_name,start_day_of_week,start_hour_of_day,hire_duration,stop_time,start_station,start_lat,start_long,end_station,end_lat,end_long,type,birth_year,rider_age,gender
26301,2018-02-27T00:11:03Z,2018-02-26,Feb,Mon,19,277.098000049591s (~4.62 minutes),2018-02-27T00:15:40Z,3186,40.71958611647166,-74.04311746358871,3203,40.727595966,-74.044247311,Subscriber,1986,32,Male
26301,2018-02-27T12:52:49Z,2018-02-27,Feb,Tue,7,323.924000024796s (~5.4 minutes),2018-02-27T12:58:13Z,3203,40.727595966,-74.044247311,3202,40.7272235,-74.0337589,Subscriber,1979,39,Male
26301,2018-02-27T17:03:27Z,2018-02-27,Feb,Tue,12,86.5269999504089s (~1.44 minutes),2018-02-27T17:04:54Z,3202,40.7272235,-74.0337589,3638,40.7242941,-74.0354826,Subscriber,1963,55,Male
26301,2018-02-27T18:53:51Z,2018-02-27,Feb,Tue,13,1632.94499993324s (~27.22 minutes),2018-02-27T19:21:04Z,3638,40.7242941,-74.0354826,3638,40.7242941,-74.0354826,Subscriber,1984,34,Male
26301,2018-02-27T19:30:42Z,2018-02-27,Feb,Tue,14,148.53400015831s (~2.48 minutes),2018-02-27T19:33:11Z,3638,40.7242941,-74.0354826,3187,40.7211236,-74.03805095,Subscriber,1980,38,Male
26301,2018-02-27T21:31:04Z,2018-02-27,Feb,Tue,16,143.954999923706s (~2.4 minutes),2018-02-27T21:33:27Z,3187,40.7211236,-74.03805095,3638,40.7242941,-74.0354826,Subscriber,1980,38,Male
26301,2018-02-27T22:37:12Z,2018-02-27,Feb,Tue,17,216.992000102997s (~3.62 minutes),2018-02-27T22:40:49Z,3638,40.7242941,-74.0354826,3639,40.7192517,-74.034234,Subscriber,1989,29,Male
26301,2018-02-27T22:49:10Z,2018-02-27,Feb,Tue,17,352.898999929428s (~5.88 minutes),2018-02-27T22:55:03Z,3639,40.7192517,-74.034234,3202,40.7272235,-74.0337589,Subscriber,1962,56,Male
26301,2018-02-27T23:21:57Z,2018-02-27,Feb,Tue,18,200.201999902725s (~3.34 minutes),2018-02-27T23:25:18Z,3202,40.7272235,-74.0337589,3638,40.7242941,-74.0354826,Subscriber,1992,26,Male
26301,2018-02-28T03:08:55Z,2018-02-27,Feb,Tue,22,1187.12599992752s (~19.79 minutes),2018-02-28T03:28:42Z,3638,40.7242941,-74.0354826,3281,40.74590996631558,-74.0572714805603,Subscriber,1981,37,Male
26301,2018-02-28T13:19:37Z,2018-02-28,Feb,Wed,8,377.386000156403s (~6.29 minutes),2018-02-28T13:25:54Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1972,46,Male
26301,2018-02-28T23:17:07Z,2018-02-28,Feb,Wed,18,517.286000013351s (~8.62 minutes),2018-02-28T23:25:44Z,3640,40.73367,-74.0625,3210,40.742677141,-74.051788633,Subscriber,1988,30,Male
26301,2018-03-01T15:27:57Z,2018-03-01,Mar,Thu,10,411.994000196457s (~6.87 minutes),2018-03-01T15:34:49Z,3210,40.742677141,-74.051788633,3640,40.73367,-74.0625,Subscriber,1986,32,Male
26301,2018-03-03T09:12:49Z,2018-03-03,Mar,Sat,4,494.026000022888s (~8.23 minutes),2018-03-03T09:21:03Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,40,Male
26301,2018-03-03T23:18:47Z,2018-03-03,Mar,Sat,18,397.321000099182s (~6.62 minutes),2018-03-03T23:25:24Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1978,40,Male
26301,2018-03-04T08:46:27Z,2018-03-04,Mar,Sun,3,501.47000002861s (~8.36 minutes),2018-03-04T08:54:48Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,40,Male
26301,2018-03-04T22:18:45Z,2018-03-04,Mar,Sun,17,412.024999856949s (~6.87 minutes),2018-03-04T22:25:37Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1978,40,Male
26301,2018-03-05T05:08:53Z,2018-03-05,Mar,Mon,0,465.772000074387s (~7.76 minutes),2018-03-05T05:16:39Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,40,Male
26301,2018-03-05T12:49:36Z,2018-03-05,Mar,Mon,7,350.727999925613s (~5.85 minutes),2018-03-05T12:55:27Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1979,39,Male
26301,2018-03-05T23:41:57Z,2018-03-05,Mar,Mon,18,253.170000076294s (~4.22 minutes),2018-03-05T23:46:10Z,3640,40.73367,-74.0625,3206,40.7311689,-74.0575736,Subscriber,1981,37,Male
26301,2018-03-06T02:05:46Z,2018-03-05,Mar,Mon,21,266.073000192642s (~4.43 minutes),2018-03-06T02:10:12Z,3206,40.7311689,-74.0575736,3207,40.7376037,-74.0524783,Subscriber,1983,35,Male
26301,2018-03-06T13:37:44Z,2018-03-06,Mar,Tue,8,277.621999979019s (~4.63 minutes),2018-03-06T13:42:21Z,3207,40.7376037,-74.0524783,3640,40.73367,-74.0625,Subscriber,1985,33,Male
26301,2018-03-06T23:29:41Z,2018-03-06,Mar,Tue,18,285.322999954224s (~4.76 minutes),2018-03-06T23:34:26Z,3640,40.73367,-74.0625,3207,40.7376037,-74.0524783,Subscriber,1980,38,Male
